! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
150.000000	1.13812   	150.000000	1.34721   	150.000000	1.3469    	150.000000	1.33804   	150.000000	1.34698   	150.000000	1.34681   	150.000000	0.000402975	
155.000000	1.09917   	155.000000	1.31696   	155.000000	1.31688   	155.000000	1.30785   	155.000000	1.31696   	155.000000	1.31657   	155.000000	0.000391034	
160.000000	1.07637   	160.000000	1.28852   	160.000000	1.28866   	160.000000	1.27948   	160.000000	1.28874   	160.000000	1.28814   	160.000000	0.000379808	
165.000000	1.05486   	165.000000	1.26172   	165.000000	1.26208   	165.000000	1.25277   	165.000000	1.26217   	165.000000	1.26135   	165.000000	0.000369232	
170.000000	1.03453   	170.000000	1.23644   	170.000000	1.23701   	170.000000	1.22757   	170.000000	1.23707   	170.000000	1.23608   	170.000000	0.000359251	
175.000000	1.0153    	175.000000	1.21254   	175.000000	1.21331   	175.000000	1.20376   	175.000000	1.21336   	175.000000	1.21219   	175.000000	0.000349816	
180.000000	0.997063  	180.000000	1.18991   	180.000000	1.19088   	180.000000	1.18122   	180.000000	1.19092   	180.000000	1.18957   	180.000000	0.000340882	
185.000000	0.979753  	185.000000	1.16846   	185.000000	1.16963   	185.000000	1.15987   	185.000000	1.16963   	185.000000	1.16812   	185.000000	0.00033241	
190.000000	0.963297  	190.000000	1.14809   	190.000000	1.14947   	190.000000	1.13961   	190.000000	1.14944   	190.000000	1.14776   	190.000000	0.000324365	
195.000000	0.947634  	195.000000	1.12873   	195.000000	1.13025   	195.000000	1.12035   	195.000000	1.13024   	195.000000	1.12841   	195.000000	0.000316715	
