! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
340.000000	8.92036e-06	340.000000	1.05293e-05	340.000000	1.05954e-05	340.000000	1.04662e-05	340.000000	1.05955e-05	340.000000	1.05269e-05	340.000000	2.46779e-09	
350.000000	8.78593e-06	350.000000	1.03683e-05	350.000000	1.04371e-05	350.000000	1.03083e-05	350.000000	1.04371e-05	350.000000	1.03659e-05	350.000000	2.40267e-09	
360.000000	8.65875e-06	360.000000	1.02162e-05	360.000000	1.02878e-05	360.000000	1.01592e-05	360.000000	1.02876e-05	360.000000	1.02138e-05	360.000000	2.34102e-09	
370.000000	8.53824e-06	370.000000	1.00723e-05	370.000000	1.01467e-05	370.000000	1.00184e-05	370.000000	1.01464e-05	370.000000	1.007e-05 	370.000000	2.28257e-09	
380.000000	8.42391e-06	380.000000	9.93595e-06	380.000000	1.00126e-05	380.000000	9.88507e-06	380.000000	1.00126e-05	380.000000	9.93373e-06	380.000000	2.22706e-09	
390.000000	8.3153e-06	390.000000	9.80668e-06	390.000000	9.88545e-06	390.000000	9.75875e-06	390.000000	9.88584e-06	390.000000	9.80451e-06	390.000000	2.17429e-09	
400.000000	8.21202e-06	400.000000	9.68392e-06	400.000000	9.76519e-06	400.000000	9.63892e-06	400.000000	9.76564e-06	400.000000	9.6818e-06	400.000000	2.12405e-09	
410.000000	8.11368e-06	410.000000	9.56723e-06	410.000000	9.65119e-06	410.000000	9.5251e-06	410.000000	9.65135e-06	410.000000	9.56515e-06	410.000000	2.07617e-09	
420.000000	8.01996e-06	420.000000	9.45617e-06	420.000000	9.5427e-06	420.000000	9.41688e-06	420.000000	9.54269e-06	420.000000	9.45414e-06	420.000000	2.03047e-09	
430.000000	7.93054e-06	430.000000	9.35036e-06	430.000000	9.43941e-06	430.000000	9.31387e-06	430.000000	9.43929e-06	430.000000	9.34837e-06	430.000000	1.98681e-09	
440.000000	7.84516e-06	440.000000	9.24946e-06	440.000000	9.34109e-06	440.000000	9.21572e-06	440.000000	9.34073e-06	440.000000	9.24752e-06	440.000000	1.94505e-09	
450.000000	7.76355e-06	450.000000	9.15316e-06	450.000000	9.24722e-06	450.000000	9.12212e-06	450.000000	9.24669e-06	450.000000	9.15125e-06	450.000000	1.90508e-09	
460.000000	7.68547e-06	460.000000	9.06115e-06	460.000000	9.15729e-06	460.000000	9.03277e-06	460.000000	9.15695e-06	460.000000	9.05929e-06	460.000000	1.86677e-09	
470.000000	7.61072e-06	470.000000	8.97318e-06	470.000000	9.07122e-06	470.000000	8.94741e-06	470.000000	9.07124e-06	470.000000	8.97135e-06	470.000000	1.83003e-09	
480.000000	7.5391e-06	480.000000	8.889e-06 	480.000000	8.98913e-06	480.000000	8.86579e-06	480.000000	8.9892e-06	480.000000	8.88721e-06	480.000000	1.79476e-09	
490.000000	7.47043e-06	490.000000	8.80838e-06	490.000000	8.91084e-06	490.000000	8.78769e-06	490.000000	8.9107e-06	490.000000	8.80662e-06	490.000000	1.76087e-09	
500.000000	7.40454e-06	500.000000	8.73112e-06	500.000000	8.83583e-06	500.000000	8.71289e-06	500.000000	8.83555e-06	500.000000	8.72939e-06	500.000000	1.72828e-09	
520.000000	7.28047e-06	520.000000	8.58592e-06	520.000000	8.69432e-06	520.000000	8.57248e-06	520.000000	8.69441e-06	520.000000	8.58425e-06	520.000000	1.66672e-09	
540.000000	7.16581e-06	540.000000	8.45202e-06	540.000000	8.56436e-06	540.000000	8.44319e-06	540.000000	8.56441e-06	540.000000	8.45041e-06	540.000000	1.60954e-09	
